OID,Station Name,Component Type,Component Description,Additional Information,High KV,Low KV,Tertiary KV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,AMP Rating,Duration,Note #,Rating Type,AMP Rating,Duration,Note #,Rating Type,AMP Rating,Duration,Note #,Rating Type,AMP Rating,Duration,Note #,Rating Type,AMP Rating,MVA Rating,MVAr High,MVAr Low,Con,Duration,Note #
163125,SUB1,DISC,1011,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163127,SUB1,CB,1012,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163126,SUB1,DISC,1013,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163119,SUB1,DISC,1015,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163128,SUB1,DISC,1025,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163113,SUB1,DISC,1031,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),600,0,,SE (A),600,0,,WN (B),600,0,,WE (C),600,0,,,,,,,,,
163114,SUB1,CB,1032,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),1200,0,,SE (A),1200,0,,WN (B),1200,0,,WE (C),1200,0,,,,,,,,,
163112,SUB1,DISC,1033,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),600,0,,SE (A),600,0,,WN (B),600,0,,WE (C),600,0,,,,,,,,,
163111,SUB1,DISC,1035,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163109,SUB1,WTRP,SUB1-SUB2,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000,0,,SE (A),2000,0,,WN (B),2000,0,,WE (C),2000,0,,,,,,,,,
163115,SUB1,CT,SUB1-SUB2 CB 1032,1200/5 set at 800*1 TRF,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),800,0,,SE (A),800,0,,WN (B),800,0,,WE (C),800,0,,,,,,,,,
163116,SUB1,TERM,SUB1-SUB2 CB 1032,,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),600,0,11,SE (A),600,0,11,WN (B),600,0,11,WE (C),600,0,23,,,,,,,,
163110,SUB1,COND,SUB1-SUB2 LINE TO WAVETRAP JUMPER,1-715.5-37 kcmil AAC - INTERIOR RATING,115kV,,,AMPS,,Y,SUB1-SUB2,SUB1-SUB2,SN (N),631,0,,SE (A),742,4,,WN (B),972,0,,WE (C),1039,4,,,,,,,,,
187816,SUB1,BUS,115 kV MAIN BUS,715.5 kcmil AAC-Interior rating,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),631,0,,SE (A),742,4,,WN (B),972,0,,WE (C),1039,4,,,,,,,,,
187817,SUB1,CT,1012,1200/5 set at 400*2 TRF,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),800,0,,SE (A),800,0,,WN (B),800,0,,WE (C),800,0,,,,,,,,,
